C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/sampleCount,C0/noDataCount,C0/median,C0/p10,C0/p90,C0/cloudCoveragePercent
2018-03-26T00:00:00.000Z,-1,1,0.032927483654088936,0.11604836928009565,1244672,1027445,-0.005743712,-0.026156263,0.13321250677108765,21.38638382889793
2018-03-27T00:00:00.000Z,-1,1,0.087186912,0.10927598228359175,1244672,1087167,0.049335133,0.006076741,0.22756507992744446,69.16732802133207
2018-03-28T00:00:00.000Z,-1,1,0.083001539,0.14620302307984445,1244672,1006500,0.025784327,-0.010401931,0.2852664589881897,53.77500293905173
2018-03-29T00:00:00.000Z,-1,1,0.046905479,0.13217724800023248,1244672,1046391,0.012296177446842194,-0.021450022,0.15884289145469666,66.36087169
2018-03-30T00:00:00.000Z,-0.957055211,1,0.017371497210167418,0.050275271,1244672,1092971,0.008930004,-0.016963664,0.045784477,97.22018971529506
2018-03-31T00:00:00.000Z,-1,1,0.1297109537328575,0.1725838772005025,1244672,1100141,0.081952527,-0.015195792,0.3718309998512268,68.22342611619668
2018-04-01T00:00:00.000Z,-1,1,0.083154394,0.095256346,1244672,1068049,0.051890653,0.000728067,0.21668511629104614,81.71189482683458
2018-04-02T00:00:00.000Z,-0.160714284,1,0.024624095991672295,0.049053156615135915,1244672,1124749,0.022721894085407257,-0.024185069,0.060420033,96.79711147986593
2018-04-03T00:00:00.000Z,-1,1,0.23386484027014656,0.24182543050504082,1244672,1024743,0.24276728928089142,0.005124605,0.507764995,14.475580755607318
2018-04-04T00:00:00.000Z,-1,1,0.30533239208994406,0.16322771208481687,1244672,993198,0.30416223406791687,0.10597402602434158,0.5065388083457947,14.136252654350335
2018-04-05T00:00:00.000Z,-1,1,0.13115474351580264,0.14366542001310656,1244672,1059320,0.089022852,0.002017485,0.32403501868247986,65.33352755837734
